Id,Label,timeset,topgenre,Degree,modularity_class,componentnumber
1000,Kirby Bliss Blanton,,Adventure,3,5,0
1023,Jim Broadbent,,Drama,9,5,0
1082,Keanu Reeves,,Crime,17,5,0
1109,Lesley Manville,,Action,3,5,0
1270,Aomi Muyock,,Drama,3,5,0
1271,Karl Glusman,,Drama,6,5,0
1272,Klara Kristin,,Drama,3,5,0
1273,Juan Saavedra,,Drama,3,5,0
1288,Ana de Armas,,Drama,5,5,0
1317,Emory Cohen,,Drama,9,5,0
1336,Mia Goth,,Drama,6,5,0
1337,Martin McCann,,Drama,3,5,0
1338,Barry Ward,,Sci-Fi,6,5,0
1339,Andrew Simpson,,Drama,3,5,0
1394,Tye Sheridan,,Biography,9,5,0
1395,Billy Crudup,,Drama,8,5,0
1407,Logan Miller,,Action,3,5,0
1408,Joey Morgan,,Action,3,5,0
1409,Sarah Dumont,,Action,3,5,0
1588,Renee Zellweger,,Comedy,6,5,0
1589,Gemma Jones,,Comedy,3,5,0
1590,Sally Phillips,,Comedy,3,5,0
1591,Tom Hughes,,Sci-Fi,3,5,0
1592,Oona Chaplin,,Sci-Fi,3,5,0
1611,Dane DeHaan,,Drama,6,5,0
1612,Jason Isaacs,,Drama,3,5,0
1613,Ivo Nandi,,Drama,3,5,0
1634,Greta Gerwig,,Drama,5,5,0
1638,Annette Bening,,Comedy,3,5,0
1650,Carly Rae Jepsen,,Animation,3,5,0
1651,Maddie Ziegler,,Animation,3,5,0
1919,Christopher McDonald,,Crime,3,5,0
1920,Mira Sorvino,,Crime,3,5,0
1950,Bel Powley,,Thriller,3,5,0
1951,Stephen Moyer,,Thriller,3,5,0
76,Toni Collette,,Drama,6,6,0
77,Greg Kinnear,,Comedy,3,6,0
174,Michael Cera,,Comedy,9,6,0
201,Daniel Day-Lewis,,Drama,6,6,0
202,Paul Dano,,Drama,9,6,0
203,Ciaran Hinds,,Drama,12,6,0
204,Martin Stringer,,Drama,3,6,0
205,Daniel Radcliffe,,Adventure,20,6,0
206,Emma Watson,,Adventure,17,6,0
207,Rupert Grint,,Adventure,5,6,0
208,Brendan Gleeson,,Adventure,18,6,0
242,Ellen Page,,Comedy,15,6,0
282,Anthony Hopkins,,Crime,15,6,0
